id,code,name,currency_id,user_type/id,type,reconcile,company_id/id,parent_id/id
pcg_CH_0,0,Plan comptable CH,,account.data_account_type_view_X,View,FALSE,scenario.qoqa_ch,
pcg_CH_1,1,Actifs,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_0
pcg_CH_10,10,Liquidités,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_1
pcg_CH_1000,1000,Caisse,,account.data_account_type_bank_X,Liquidity,FALSE,scenario.qoqa_ch,pcg_CH_10
pcg_CH_1010,1010,CCP 17-713231-4 (enc. Cartes crédit),,account.data_account_type_bank_X,Liquidity,FALSE,scenario.qoqa_ch,pcg_CH_10
pcg_CH_1011,1011,CCP 10-780685-6,,account.data_account_type_bank_X,Liquidity,FALSE,scenario.qoqa_ch,pcg_CH_10
pcg_CH_1012,1012,CCP 91-155371-5 EUR,EUR,account.data_account_type_bank_X,Liquidity,FALSE,scenario.qoqa_ch,pcg_CH_10
pcg_CH_1013,1013,CCP 92-630326-1 EUR,EUR,account.data_account_type_bank_X,Liquidity,FALSE,scenario.qoqa_ch,pcg_CH_10
pcg_CH_1014,1014,CCP 91-147215-1 USD,USD,account.data_account_type_bank_X,Liquidity,FALSE,scenario.qoqa_ch,pcg_CH_10
pcg_CH_1015,1015,CCP 12-831083-4 (Enc. fact. manuelles),,account.data_account_type_bank_X,Liquidity,FALSE,scenario.qoqa_ch,pcg_CH_10
pcg_CH_1016,1016,CCP 12-258688-3 (AP),,account.data_account_type_bank_X,Liquidity,FALSE,scenario.qoqa_ch,pcg_CH_10
pcg_CH_1020,1020,UBS CC N 775748.01,,account.data_account_type_bank_X,Liquidity,FALSE,scenario.qoqa_ch,pcg_CH_10
pcg_CH_1021,1021,UBS compte d'épargne entreprise,,account.data_account_type_bank_X,Liquidity,FALSE,scenario.qoqa_ch,pcg_CH_10
pcg_CH_1030,1030,PayPal QoQa,,account.data_account_type_bank_X,Liquidity,FALSE,scenario.qoqa_ch,pcg_CH_10
pcg_CH_109,109,Comptes d'attente,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_1
pcg_CH_1090,1090,Compte d'attente débiteurs,,account.data_account_type_asset_X,Regular,TRUE,scenario.qoqa_ch,pcg_CH_109
pcg_CH_1091,1091,Compte d'attente,,account.data_account_type_asset_X,Regular,TRUE,scenario.qoqa_ch,pcg_CH_109
pcg_CH_11,11,Créances,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_1
pcg_CH_110,110,Créances résultant de ventes et de prestations de services,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_11
pcg_CH_1100,1100,Débiteurs traités par PostFinance Debit Direct,,account.data_account_type_receivable_X,Receivable,TRUE,scenario.qoqa_ch,pcg_CH_110
pcg_CH_1101,1101,Débiteurs traités par Telekurs VISA,,account.data_account_type_receivable_X,Receivable,TRUE,scenario.qoqa_ch,pcg_CH_110
pcg_CH_1103,1103,Débiteurs Clients général,,account.data_account_type_receivable_X,Receivable,TRUE,scenario.qoqa_ch,pcg_CH_110
pcg_CH_1104,1104,Débiteurs traités manuellement,,account.data_account_type_receivable_X,Receivable,TRUE,scenario.qoqa_ch,pcg_CH_110
pcg_CH_1105,1105,Débiteur Swikey,,account.data_account_type_receivable_X,Receivable,TRUE,scenario.qoqa_ch,pcg_CH_110
pcg_CH_1106,1106,Débiteur PayPal,,account.data_account_type_receivable_X,Receivable,TRUE,scenario.qoqa_ch,pcg_CH_110
pcg_CH_1109,1109,Provision pour perte sur débiteurs,,account.data_account_type_receivable_X,Receivable,TRUE,scenario.qoqa_ch,pcg_CH_110
pcg_CH_111,111,Créances résultant de prestations envers des sociétés du groupe,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_11
pcg_CH_1110,1110,C/C QoQa France,EUR,account.data_account_type_payable_X,Payable,TRUE,scenario.qoqa_ch,pcg_CH_111
pcg_CH_114,114,Autres créances à court terme envers des tiers,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_11
pcg_CH_1140,1140,Avances à court terme,,account.data_account_type_asset_X,Regular,TRUE,scenario.qoqa_ch,pcg_CH_114
pcg_CH_1150,1150,Avance sur salaire,,account.data_account_type_asset_X,Regular,TRUE,scenario.qoqa_ch,pcg_CH_114
pcg_CH_117,117,Créances envers des instituions publiques,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_11
pcg_CH_1170,1170,TVA déductible /achat de matières et prestations de service,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_117
pcg_CH_1171,1171,TVA déductible/ investissement et autres charges d'exploitation,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_117
pcg_CH_1176,1176,Impôts anticipés à récupérer,,account.data_account_type_asset_X,Regular,TRUE,scenario.qoqa_ch,pcg_CH_117
pcg_CH_118,118,Capital-actions non libéré,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_11
pcg_CH_1180,1180,Capital-actions non libéré,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_118
pcg_CH_119,119,Autres créances à court terme,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_11
pcg_CH_1192,1192,Acomptes aux fournisseurs,,account.data_account_type_payable_X,Payable,FALSE,scenario.qoqa_ch,pcg_CH_119
pcg_CH_120,120,Stocks,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_11
pcg_CH_1200,1200,Stock de marchandises,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_120
pcg_CH_1208,1208,Dépôt de garantie - Acomptes versés / marchandises,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_120
pcg_CH_130,130,Actifs de régularisation,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_11
pcg_CH_1300,1300,Actifs transitoire,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_130
pcg_CH_14,14,Actifs immobilisés,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_1
pcg_CH_140,140,Immobilisations financières,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_14
pcg_CH_1411,1411,Dépôt Loyer- UBS CC 255-775748.MKU,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_140
pcg_CH_1412,1412,Compte garantie douane (3691-0),,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_140
pcg_CH_1413,1413,UBS Compte consignation,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_140
pcg_CH_1415,1415,Dépôt Loyer- UBS CC 230-165762.MKH,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_140
pcg_CH_142,142,Participations,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_14
pcg_CH_1420,1420,Participations,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_142
pcg_CH_1421,1421,Participations Melazic,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_142
pcg_CH_1422,1422,Participations Slatex,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_142
pcg_CH_1428,1428,Provision sur participations Melazic,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_142
pcg_CH_1429,1429,Provision sur participations QoQa France,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_142
pcg_CH_145,145,Créances à long terme envers des sociétés du groupe,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_14
pcg_CH_1450,1450,Prêt QoQa France,EUR,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_145
pcg_CH_1451,1451,Prêt Melazic,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_145
pcg_CH_1459,1459,Provisions s/créances à long terme envers sociétés groupe,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_145
pcg_CH_150,150,Immbilisations corporelles,,account.account_type_asset_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_14
pcg_CH_1510,1510,Mobilier et agencement,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_150
pcg_CH_1519,1519,Fond d'amortissement sur mobilier et agencement,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_150
pcg_CH_1521,1521,Matériel informatique,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_150
pcg_CH_1524,1524,Installation de sécurité,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_150
pcg_CH_1529,1529,Fond d'amortissement sur matériel informatique,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_150
pcg_CH_1530,1530,Véhicules,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_150
pcg_CH_1539,1539,Fond d'amortissement sur véhicule,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_150
pcg_CH_1580,1580,Montgolfière,,account.data_account_type_asset_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_150
pcg_CH_2,2,Passifs,,account.account_type_liability_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_0
pcg_CH_20,20,Dettes à court terme,,account.account_type_liability_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_2
pcg_CH_200,200,Dettes à court terme résultants d'achats et de prestations de services envers des tiers,,account.account_type_liability_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_20
pcg_CH_2000,2000,Dettes fournisseurs,,account.data_account_type_payable_X,Payable,TRUE,scenario.qoqa_ch,pcg_CH_200
pcg_CH_2001,2001,Dettes fournisseurs en Euro,EUR,account.data_account_type_payable_X,Payable,TRUE,scenario.qoqa_ch,pcg_CH_200
pcg_CH_2002,2002,Dettes fournisseurs en Dollars,USD,account.data_account_type_payable_X,Payable,TRUE,scenario.qoqa_ch,pcg_CH_200
pcg_CH_2010,2010,C/C Divers Associations - collecte de dons,,account.data_account_type_liability_X,Regular,TRUE,scenario.qoqa_ch,pcg_CH_200
pcg_CH_2030,2030,Acompte des clients,,account.data_account_type_receivable_X,Receivable,TRUE,scenario.qoqa_ch,pcg_CH_200
pcg_CH_204,204,Bons clients,,account.account_type_liability_view_X,View,TRUE,scenario.qoqa_ch,pcg_CH_20
pcg_CH_2040,2040,Bons d'achat,,account.data_account_type_liability_X,Regular,TRUE,scenario.qoqa_ch,pcg_CH_204
pcg_CH_2041,2041,Bons de Rabais,,account.data_account_type_liability_X,Regular,TRUE,scenario.qoqa_ch,pcg_CH_204
pcg_CH_2042,2042,Bons Remboursement,,account.data_account_type_liability_X,Regular,TRUE,scenario.qoqa_ch,pcg_CH_204
pcg_CH_2043,2043,Bons Marketing,,account.data_account_type_liability_X,Regular,TRUE,scenario.qoqa_ch,pcg_CH_204
pcg_CH_205,205,Dettes résultants d'achats et de prestations de services envers des sociétés du groupe,,account.account_type_liability_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_20
pcg_CH_2050,2050,Dettes envers la filiale Slatex,,account.data_account_type_payable_X,Payable,FALSE,scenario.qoqa_ch,pcg_CH_205
pcg_CH_216,216,Dettes financières à court terme envers des actionnaires,,account.account_type_liability_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_20
pcg_CH_2160,2160,Meyer P. CC,,account.data_account_type_liability_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_216
pcg_CH_22,22,Atures dettes à court terme,,account.account_type_liability_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_2
pcg_CH_220,220,Dettes envers des insitutions publiques,,account.account_type_liability_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_22
pcg_CH_2200,2200,TVA due,,account.data_account_type_liability_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_220
pcg_CH_2201,2201,TVA à payer,,account.data_account_type_liability_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_220
pcg_CH_223,223,Dividendes non encaissés ,,account.account_type_liability_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_22
pcg_CH_2231,2231,Dividendes non encaissés des exercices précédents,,account.data_account_type_liability_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_223
pcg_CH_227,227,Autres dettes à court terme envers des assurances sociales,,account.account_type_liability_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_22
pcg_CH_2270,2270,C/C Caisse AVS,,account.data_account_type_liability_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_227
pcg_CH_2271,2271,C/C LAA,,account.data_account_type_liability_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_227
pcg_CH_2273,2273,C/C APG Maladie,,account.data_account_type_liability_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_227
pcg_CH_2274,2274,C/C LPP,,account.data_account_type_liability_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_227
pcg_CH_2290,2290,Salaires à payer,,account.data_account_type_liability_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_227
pcg_CH_230,230,Passifs de régularisation et provisions,,account.account_type_liability_view_X,View,FALSE,scenario.qoqa_ch,pcg_CH_22
pcg_CH_2300,2300,Passifs transitoires,,account.data_account_type_liability_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_230
pcg_CH_2310,2310,Impôt à la source,,account.data_account_type_liability_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_230
pcg_CH_2330,2330,Provision pour Garantie,,account.data_account_type_liability_X,Regular,FALSE,scenario.qoqa_ch,pcg_CH_230
