Deal,Shop,Article,Mois,Compte de vente actuel,Compte de vente à modifier,Modifier les comptes sur Odoo,MODIFIER LE COMPTE DE VENTE SUR LES FACTURES + COMPTE DE REVENUS SUR LE PRODUIT
12952,QoQa,Oh Pass,janvier 2017,32000,32001,ok,
13111,QoQa,Taille crayon,Fevrier 2017,32000,32001,ok,
13110,QoQa,Boite supracolor,Fevrier 2017,32000,32001,ok,
13006,Qooking,Bamix,Fevrier 2017,32000,32001,ok,
12989,Qooking,La Clé,Fevrier 2017,32000,32001,ok,
13133,Qooking,Tefal,Fevrier 2017,32000,32001,ok,
13201,Qooking,Moma,mars 2017,32000,32002,ok,
13220,Qooking,Moma,mars 2017,32000,32002,ok,
13139,Qooking,Berkel,mars 2017,32000,32001,ok,
13623,Qids,Snoozebaby,mai 2017,32000,32001,ok,
13639,Qids,Snoozebaby,mai 2017,32000,32001,ok,
13640,Qids,Snoozebaby,mai 2017,32000,32001,ok,
13653,Qwineprimeur,Clauzet,mai 2017,32000,32001,ok,
13992,QoQa,Schlossberg,juin 2017,32000,32001,ok,
13994,QoQa,Schlossberg,juin 2017,32000,32001,ok,
13951,QoQa,Joornui,juin 2017,32000,32001,ok,
13974,QoQa,Semelles,juin 2017,32000,32001,ok,
13837,Qwine,Absinthe Bleue,juin 2017,32000,32001,ok,
13838,Qwine,Absinthe verte,juin 2017,32000,32001,ok,
13822,Qwine,Hepburn Jura,juin 2017,32000,32001,ok,
13815,Qwine,Mann,juin 2017,32000,32001,ok,
13886,Qwine,Coix Picot,juin 2017,32000,32001,ok,
13913,Qwine,Nébuleuse,juin 2017,32000,32001,ok,
13930,Qsport,Ogio,juin 2017,32000,32001,ok,
13990,Qsport,Via Ferrata,juin 2017,32000,32001,ok,
13890,Qids,Mayoparasol,juin 2017,32000,32001,ok,
13888,Qids,Ravensburger,juin 2017,32000,32001,ok,
13787,Qwineprimeur,Coutet,juin 2017,32000,32001,ok,
13780,Qwineprimeur,S.Mallet,juin 2017,32000,32001,ok,
13784,Qwineprimeur,LaTour Martillac,juin 2017,32000,32001,ok,
13958,Qwine,Limonio,juillet 2017,32000,32001,ok,
14035,Qwine,Moscato,juillet 2017,32000,32001,ok,
14036,Qids,Easyswim,juillet 2017,32000,32001,ok,
14031,Qids,Qbag,juillet 2017,32000,32001,ok,
13862,QoQa,CGN,juin 2017,32005,32001,ok,